numero,nombre_cientifico,nombre_comun,rango,cantidad_observaciones,enlaces_observaciones
1,Ctenosaura pectinata,"Iguana Negra Mexicana, Iguana Mexicana de Cola Espinosa, Garrobos de Roca, Garrobo de Roca, Iguana-espinosa mexicana, Western Spiny-tailed Iguana, Mexican Black Spiny-tailed Iguana, Guerreran Spiny-tailed Iguana, Mexican spiny-tailed iguana, Spiny-tailed Iguana, Mexican Spiny-tailed Iguana, Mexican spinytail iguana, Iguane Mexicain à Queue Épineuse",species,219,"328140817, 328076733, 327769738, 327623197, 327390359, 327203542, 326560191, 326536392, 326214189, 326214188, 326214183, 326214184, 326214178, 326214172, 325862806, 325741488, 325504029, 325228008, 325228007, 324978956, 324975702, 324408110, 323856624, 323856621, 323856543, 323856042, 323854309, 323834984, 323502969, 322686869, 322102339, 322078788, 321501174, 321305099, 321304632, 320984089, 320983850, 319992198, 319607659, 319598084, 319295563, 319210713, 319189280, 319188655, 319176230, 319062496, 319034285, 318466598, 318335006, 318080933, 317905792, 317905773, 317902576, 317313166, 317313072, 316752550, 316748750, 316438781, 315893429, 315724768, 315683510, 315400706, 314958689, 314958654, 314942790, 314914820, 314914814, 314914813, 314480866, 313619447, 313230883, 313230872, 312829156, 312828835, 312783307, 310208282, 310208274, 310208273, 308516183, 308238152, 308107702, 308035107, 307662065, 307653377, 306317878, 305682467, 305624295, 305408984, 305401111, 304827222, 304621020, 303801889, 302608113, 302526320, 301960624, 301960617, 301960615, 301960612, 301960276, 301960098, 301959923, 301959798, 301959544, 301959378, 300494808, 300339861, 299918342, 299918292, 299918240, 299404229, 299224107, 298554777, 298548967, 298548964, 298548956, 298280467, 298273173, 298272598, 298272407, 298272028, 298271659, 297784741, 297144502, 296183928, 296179368, 296178176, 296176574, 296120316, 295215746, 295038250, 294988929, 294671509, 293528521, 293305216, 292991807, 292695127, 291968389, 291951415, 291696190, 291617591, 291617291, 291070035, 290804306, 290733865, 290514332, 290514311, 290514261, 290514187, 290514138, 290514137, 290029018, 290028751, 289924546, 289434472, 289401793, 289368416, 289127125, 289066281, 289066261, 289066250, 289066244, 288659092, 288238440, 287211716, 286392040, 284416490, 283553161, 283277617, 282945029, 282794471, 282425367, 282200151, 281370936, 281185958, 280882616, 280782533, 280551985, 280264362, 279568103, 278798142, 278579596, 278579592, 278579588, 278579587, 278523113, 278523109, 278523105, 278523101, 278512632, 278512592, 278496448, 278132773, 277949804, 277761876, 277738650, 277596326, 277472433, 277469613, 277469482, 277454779, 277425625, 277397971, 277397673, 277396004, 277395898, 276701343, 276450251, 276430467, 275072312, 274945749, 274428235, 272533906, 272467408, 272449833, 271630267, 270664767, 270664739, 269701584, 269492011"
2,Kinosternon integrum,No disponible,species,140,"327800883, 323901349, 322849745, 321256173, 320983877, 320983811, 320983767, 320247430, 319296387, 319090493, 318709403, 318688592, 318078794, 309774172, 309774171, 309774170, 309774169, 309774167, 309774166, 309774165, 309774164, 309774162, 309774161, 309774155, 309774154, 309774153, 309774152, 309774151, 309774150, 309277049, 309277048, 309277044, 309277043, 309277042, 309277038, 309277037, 309277029, 309277020, 309277017, 309277003, 309277001, 309277000, 309276995, 309276993, 309276991, 309276990, 309276988, 309276987, 309274278, 309274272, 309274271, 309274266, 309274264, 309274261, 308477734, 306606813, 304301162, 302456879, 302456878, 302456877, 302456873, 302456872, 302456870, 302456868, 302456867, 302456863, 302456861, 302456860, 302456856, 302456855, 302456854, 302456852, 302456851, 302456850, 302456848, 302456847, 302456845, 302456843, 302456842, 302456841, 302456838, 302456837, 302456836, 302456831, 302456830, 302456829, 302456828, 302456827, 302456825, 302456824, 302456823, 302456822, 302456821, 302456820, 302456818, 302456816, 302456814, 302456813, 302456812, 302456811, 302456810, 302456807, 302456806, 302456805, 302456799, 302456798, 302456797, 302456793, 302456792, 302456791, 302456787, 302456786, 302456785, 302456783, 302456782, 302456780, 302456777, 302456776, 302456775, 302456774, 302456773, 302456772, 302456770, 302456768, 302456767, 302456765, 302456764, 302456762, 302456757, 302456756, 302456752, 298946955, 290514221, 289245729, 289066296, 284302131, 284301831, 284128199, 273645643, 272699119"
3,Iguana iguana,No disponible,species,120,"328087297, 327740585, 327716092, 327397905, 326837957, 326139649, 326139301, 326095732, 326095727, 326095726, 325519444, 325519409, 325519387, 325288369, 324749429, 324626914, 324561151, 323714084, 323512156, 321946466, 321559203, 321294398, 321125566, 320362825, 319034078, 318901300, 318214770, 316186906, 314006728, 314006725, 312726785, 310698386, 310693193, 309582074, 309121191, 308802099, 307884505, 307884428, 305625224, 305046632, 304611533, 304312281, 303751712, 303593996, 301497572, 300545123, 300047389, 299756469, 299472935, 299403977, 298992431, 297909520, 297795374, 297637632, 297466024, 297182177, 297182041, 297181879, 296951509, 296081177, 294700072, 294509413, 293607646, 293046060, 293046059, 291696197, 291568624, 291283374, 291250023, 289250966, 287211722, 287210044, 286921132, 286748287, 286327376, 284414936, 281891498, 281884488, 281880542, 281849441, 281830535, 281830479, 281640973, 281542869, 281542868, 281353896, 280659259, 280624547, 280623520, 278845152, 278587908, 278587902, 277860863, 277615252, 277519373, 277517571, 277513919, 277425907, 277079874, 277067882, 277064982, 276734813, 276734757, 276401335, 276341813, 272885633, 272569192, 272361722, 272302631, 272301056, 271887118, 271886964, 271605880, 270945940, 270711858, 270663563, 270663551, 269076084, 269046523, 268864145"
4,Fregata magnificens,No disponible,species,118,"327806411, 327735984, 327427100, 327390319, 327390294, 327390023, 327389936, 327389887, 327380756, 326095736, 326095710, 325969542, 325288757, 325228017, 325228016, 324978850, 324975668, 324588784, 319599517, 319257478, 318702905, 318646779, 318478077, 317905803, 317905793, 317905786, 317905772, 317905765, 317905748, 316801725, 316633607, 315406464, 314942659, 314484739, 314484129, 314006732, 313973667, 310693203, 307883140, 307882914, 307882861, 307795290, 307468580, 307447970, 304609923, 304039213, 302477287, 301903644, 300011972, 299888787, 299088107, 298295498, 298291667, 297965918, 297953449, 296839837, 296532950, 296400809, 296381781, 291316060, 288905260, 286802303, 285408218, 283747465, 283505413, 283317002, 283273214, 283238078, 283163710, 282652656, 281909241, 281513465, 281030524, 280882617, 280810325, 280530379, 280135681, 280135666, 279774212, 278512648, 278512647, 278512646, 278376759, 278139247, 278134574, 278129530, 278129280, 278128753, 278128410, 278125721, 277748582, 277469217, 277396494, 277396421, 277237432, 276456832, 276455738, 276455254, 276440225, 276405802, 276400865, 275339027, 274945799, 274945774, 273280288, 272748143, 272303379, 271622898, 271622897, 271330779, 271330774, 271330770, 271330765, 271291743, 271291061, 269834964, 269409085, 268978403"
5,Pelecanus occidentalis,Brown Pelican,species,102,"327936888, 327864348, 327782215, 327622173, 327569640, 327421969, 327380759, 327313450, 326287934, 326095733, 325228013, 324975684, 323096940, 322073659, 320745878, 320568479, 319607333, 319086286, 319086214, 318407871, 317905779, 315408033, 315321902, 314879757, 314518635, 314008385, 314008384, 313976982, 310693192, 310398170, 309418331, 309418321, 309416088, 309416084, 307625433, 307176831, 306317884, 303860094, 302940033, 302940032, 302764757, 302549825, 300733405, 298291383, 298061763, 296840497, 296405078, 295825215, 294988918, 294396601, 293186955, 291653995, 290650292, 289361510, 289186418, 287468024, 285408508, 285221159, 284622409, 283715937, 283481290, 282746905, 282701807, 281873289, 281542907, 281513468, 280882625, 280646212, 280641491, 280622084, 278799996, 278579560, 278512616, 277564218, 277480537, 277237178, 276456286, 276451407, 276451268, 276450972, 276447603, 276445550, 276444957, 276438578, 276391992, 276387345, 276383495, 276109987, 275339059, 275339037, 273271638, 272748166, 272076237, 271630258, 271330780, 271330769, 271147480, 270945928, 270113806, 269868244, 269695015, 269308128"
6,Quiscalus mexicanus,"Zanate Mexicano, Great-tailed Grackle, Dohlengrackel, Gracula codalunga, Kragegrackel, Langstaarttroepiaal, Quiscale à longue queue, Storhaletrupial, lielastes pusvārnis, mexikobåtstjärt, mexikói csónakfarkú, pitkäpyrstöturpiaali, quíscal cua de faisà, stambiauodegis kviskalas, vlhovec velkoocasý, vlhovec člnkochvostý, wilgowron meksykański, Большехвостый гракл, オナガクロムクドリモドキ, 大尾拟八哥, 大尾擬八哥",species,85,"327963127, 327313269, 327110567, 326290472, 326139047, 326095690, 326095686, 326049864, 324102604, 322836798, 320021475, 319977746, 319703749, 319473340, 319452911, 319452894, 319396518, 319396245, 319295813, 319222063, 319086529, 318709234, 318554338, 318499965, 318499016, 318462580, 315165778, 315032580, 314879767, 305992472, 305637866, 303817312, 303768103, 303751771, 302207820, 301747714, 300744053, 300375080, 300034332, 300011986, 297734080, 297713813, 297185278, 297182629, 297182521, 295899840, 295583927, 295447477, 293607540, 290514286, 290284427, 289185852, 287492096, 287379143, 287377520, 287208381, 286367272, 281861388, 281640491, 280882606, 280840118, 280624046, 280548363, 280543600, 277456471, 275606928, 273653696, 272878925, 272756293, 272756292, 272748167, 272748157, 272624648, 272570271, 272570238, 272570229, 272448388, 271886763, 271335303, 271330797, 271227377, 270663580, 270663555, 270094027, 269046421"
7,Larus heermanni,Heermann's Gull,species,79,"318420107, 317905797, 317905781, 317905777, 317905774, 315321904, 309418329, 309416090, 309416083, 302765025, 299418229, 298202381, 296401593, 296399433, 296153902, 294988920, 293607603, 293607478, 293184596, 293183245, 292736052, 291138300, 290261273, 289211886, 289188130, 289184612, 289184192, 285220837, 284621868, 284317396, 283990150, 283747488, 283747471, 283715936, 283715932, 283212871, 282709546, 281513467, 281513462, 281370864, 281370683, 280882607, 280622176, 280033015, 280033013, 278579682, 278579663, 278579582, 278579568, 278579565, 278579564, 278579562, 278579558, 278564393, 278559572, 278559571, 278523122, 278512626, 278512619, 278512615, 278512610, 278512601, 278141399, 278127588, 278124320, 277470260, 277396164, 276810602, 276102246, 275339041, 275339029, 273272530, 271473410, 271372855, 271330796, 271330786, 271330768, 269822699, 269814740"
8,Pitangus sulphuratus,No disponible,species,77,"327515343, 326139521, 324882148, 324102589, 321398046, 320882727, 320772959, 320650844, 319601505, 319288751, 319217433, 319039959, 318709340, 318709254, 318554399, 318498996, 318467038, 318074129, 316748703, 315950798, 314879750, 314879741, 314335453, 314008390, 312998566, 310693202, 309632474, 309266067, 307883068, 305578242, 305288899, 303860090, 303860081, 303023856, 302693428, 302496217, 301097369, 299760895, 299759620, 298042037, 297609393, 297484138, 296293734, 296037362, 295854643, 295002746, 294994065, 293486191, 293052405, 292991863, 292910950, 290796568, 290733879, 290514270, 290514268, 290256534, 287213204, 286209521, 283715954, 283715934, 283273213, 281911474, 281891672, 281827671, 281542876, 277111111, 277067856, 276107793, 273653694, 272748163, 272570192, 272570189, 272570188, 272448189, 272380828, 271133917, 269848310"
9,Sula nebouxii,"Piquero camanay, Blue-footed Booby, Blaufußtölpel, Blauwvoetgent, Blåfodet Sule, Blåfotsule, Fou à pieds bleus, Sula piediazzurri, atobá-de-pés-azuis, blåfotad sula, głuptak niebieskonogi, kéklábú szula, mascarell camablau, sinijalg-suula, sinijalkasuula, sula modronohá, terej modronohý, zilkāju sulla, žydrakojis padūkėlis, Голубоногая олуша, アオアシカツオドリ, 蓝脚鲣鸟, 藍腳鰹鳥",species,74,"327904823, 327390117, 327389982, 326132682, 325515340, 325288007, 325280000, 324975689, 323502974, 323502971, 323502970, 323502968, 323502966, 322073667, 322073655, 320954937, 320423987, 318647572, 317905745, 316675398, 314942905, 314292558, 314292509, 309744471, 309418325, 307795505, 307759188, 307726959, 307468265, 307447558, 304303776, 300733933, 299918222, 298826654, 297776263, 297772274, 297757296, 297731038, 295013236, 287209878, 284616827, 284317405, 284317385, 284317384, 284317382, 283747480, 283305013, 282814925, 282702448, 281986123, 281082249, 278559580, 278519305, 278519302, 278519297, 278519296, 278519295, 278516280, 278131319, 278131103, 278129817, 278129728, 277519771, 277469088, 277468096, 277467819, 277396836, 277237328, 276659972, 276105361, 275339028, 275333535, 273273021, 269308138"
10,Nyctanassa violacea,No disponible,species,69,"327196293, 327147393, 325969469, 324975696, 321187357, 320882697, 320771981, 319992036, 319615531, 318503190, 318415676, 317905802, 317905767, 315033339, 314006713, 314006712, 313230871, 310566488, 310285571, 309269080, 307572412, 306317890, 305867908, 305867905, 304992560, 304861472, 304794506, 304104568, 303751741, 303620592, 302691108, 301706086, 301705901, 300783520, 300734449, 300696221, 299970731, 297008318, 296532149, 296414376, 295903210, 295487967, 293596890, 293052411, 291696188, 290516436, 290175241, 289185006, 282708976, 281976673, 277102131, 277084838, 276463778, 276431531, 275339038, 273343324, 273339199, 272489979, 272218593, 271494130, 271472055, 271371098, 271300680, 271068018, 270672155, 270651414, 268863150, 268623451, 268616954"
